Column1,Column2
5,3537.14
5.01,3427.659
5.02,3357.056
5.03,3376.856
5.04,3516.886
5.05,3513.64
5.06,3492.015
5.07,3437.922
5.08,3594.393
5.09,3450.601
5.1,3385.463
5.11,3656.431
5.12,3673.238
5.13,3450.555
5.14,3340.258
5.15,3301.696
5.16,3241.291
5.17,3344.169
5.18,3414.127
5.19,3520.606
5.2,3508.125
5.21,3415.221
5.22,3295.132
5.23,3413.735
5.24,3525.491
5.25,3397.396
5.26,3319.759
5.27,3472.785
5.28,3506.14
5.29,3395.434
5.3,3375.485
5.31,3268.385
5.32,3422.778
5.33,3432.043
5.34,3225.054
5.35,3186.984
5.36,3004.888
5.37,2994.411
5.38,2952.706
5.39,3076.93
5.4,3280.313
5.41,3312.745
5.42,3332.423
5.43,3373.284
5.44,3176.928
5.45,3314.146
5.46,3365.681
5.47,3291.841
5.48,3140.331
5.49,3136.614
5.5,3141.287
5.51,3087.529
5.52,3117.247
5.53,3157.699
5.54,3243.754
5.55,3233.895
5.56,3096.5
5.57,3125.735
5.58,3064.522
5.59,3110.86
5.6,3123.256
5.61,3174.704
5.62,3213.959
5.63,3091.343
5.64,3054.562
5.65,3279.073
5.66,3168.353
5.67,2984.005
5.68,2918.289
5.69,2897.025
5.7,2853.865
5.71,2780.692
5.72,2904.102
5.73,2895.841
5.74,2880.167
5.75,2906.556
5.76,2731.873
5.77,2821.068
5.78,3037.426
5.79,3169.633
5.8,3121.715
5.81,2991.064
5.82,2982.024
5.83,2982.444
5.84,3017.778
5.85,2895.093
5.86,2860.771
5.87,2932.786
5.88,2974.437
5.89,3040.434
5.9,3049.699
5.91,3019.9
5.92,2827.192
5.93,2828.328
5.94,2805.231
5.95,2958.307
5.96,2996.249
5.97,2871.147
5.98,2885.49
5.99,2917.393
6,2963.549
6.01,2929.929
6.02,2967.698
6.03,2949.28
6.04,2949.042
6.05,2872.743
6.06,2944.909
6.07,2950.094
6.08,2877.193
6.09,2954.22
6.1,2881.114
6.11,3002.578
6.12,2854.87
6.13,2880.712
6.14,2882.968
6.15,2872.591
6.16,2965.858
6.17,2990.266
6.18,2873.183
6.19,2610.997
6.2,2694.543
6.21,2843.168
6.22,2901.706
6.23,2917.108
6.24,2733.869
6.25,2819.558
6.26,2772.622
6.27,2816.18
6.28,2911.129
6.29,2850.704
6.3,3019.996
6.31,3005.771
6.32,2813.17
6.33,2719.588
6.34,2852.843
6.35,2852.712
6.36,2916.661
6.37,2826.528
6.38,2675.297
6.39,2687.003
6.4,2753.241
6.41,2735.631
6.42,2732.795
6.43,2740.847
6.44,2750.549
6.45,2694.884
6.46,2741.642
6.47,2797.373
6.48,2819.349
6.49,2777.796
6.5,2745.534
6.51,2707.014
6.52,2702.528
6.53,2598.192
6.54,2736.827
6.55,2674.51
6.56,2757.653
6.57,2635.189
6.58,2509.789
6.59,2568.92
6.6,2625.319
6.61,2693.783
6.62,2844.158
6.63,2758.27
6.64,2736.445
6.65,2517.021
6.66,2450.604
6.67,2627.112
6.68,2591.465
6.69,2691.571
6.7,2627.937
6.71,2527.244
6.72,2639.754
6.73,2818.794
6.74,2652.41
6.75,2547.67
6.76,2573.84
6.77,2635.523
6.78,2668.405
6.79,2644.681
6.8,2600.675
6.81,2560.2
6.82,2391.156
6.83,2473.615
6.84,2634.305
6.85,2658.655
6.86,2744.382
6.87,2707.088
6.88,2561.671
6.89,2671.282
6.9,2613.461
6.91,2652.227
6.92,2735.085
6.93,2626.892
6.94,2634.05
6.95,2743.878
6.96,2727.381
6.97,2499.895
6.98,2646.335
6.99,2746.9
7,2763.028
7.01,2524.367
7.02,2349.447
7.03,2490.136
7.04,2519.17
7.05,2595.876
7.06,2560.045
7.07,2768.513
7.08,2734.534
7.09,2783.653
7.1,2740.494
7.11,2677.405
7.12,2617.977
7.13,2637.752
7.14,2706.188
7.15,2652.133
7.16,2523.321
7.17,2599.018
7.18,2691.147
7.19,2540.655
7.2,2492.159
7.21,2531.523
7.22,2502.883
7.23,2399.259
7.24,2370.925
7.25,2470.757
7.26,2499.292
7.27,2639.172
7.28,2558.789
7.29,2497.533
7.3,2493.221
7.31,2526.386
7.32,2459.737
7.33,2460.167
7.34,2492.139
7.35,2498.756
7.36,2309.489
7.37,2302.316
7.38,2468.926
7.39,2345.757
7.4,2298.725
7.41,2418.053
7.42,2514.714
7.43,2667.873
7.44,2581.583
7.45,2388.514
7.46,2316.261
7.47,2312.499
7.48,2323.595
7.49,2500.457
7.5,2363.159
7.51,2411.055
7.52,2543.127
7.53,2551.533
7.54,2311.009
7.55,2517.151
7.56,2656.63
7.57,2508.474
7.58,2409.346
7.59,2202.548
7.6,2362.025
7.61,2430.979
7.62,2455.448
7.63,2344.642
7.64,2320.657
7.65,2284.973
7.66,2193.259
7.67,2196.693
7.68,2481.884
7.69,2509.873
7.7,2563.316
7.71,2357.245
7.72,2443.225
